"No.","Time","Delta displayed","Source","Destination","Protocol","Length","Info"
"93271","3.656739700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93273","3.657595200","0.000855500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93274","3.657914100","0.000318900","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93275","3.658689300","0.000775200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93276","3.658689300","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93282","3.659664800","0.000975500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93283","3.659664800","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93284","3.660442000","0.000777200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93285","3.660442000","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93286","3.663211700","0.002769700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93287","3.663211700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93289","3.663211700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93290","3.663211700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93291","3.664110500","0.000898800","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93292","3.664110500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93294","3.664666600","0.000556100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93295","3.664666600","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93296","3.665438500","0.000771900","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93297","3.665438500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93298","3.665929200","0.000490700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93299","3.666033900","0.000104700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93300","3.667660900","0.001627000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93301","3.667660900","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93302","3.668696500","0.001035600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93303","3.668696500","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93304","3.669694900","0.000998400","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93305","3.669694900","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93306","3.670373900","0.000679000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93307","3.670373900","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93353","3.670981000","0.000607100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93393","3.671459600","0.000478600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93485","3.672643400","0.001183800","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93525","3.673097000","0.000453600","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93571","3.673700900","0.000603900","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93606","3.674308900","0.000608000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93687","3.675203200","0.000894300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93734","3.675624100","0.000420900","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93782","3.676200400","0.000576300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93821","3.676727700","0.000527300","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93822","3.676727700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93823","3.676727700","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93824","3.676954100","0.000226400","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93825","3.677104300","0.000150200","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93827","3.678850000","0.001745700","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93828","3.678981100","0.000131100","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93829","3.679636600","0.000655500","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93830","3.679636600","0.000000000","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
"93831","3.680673500","0.001036900","MercedesBenz_00:00:19","IPv4mcast_16:00:12","IEEE1722","1330","Audio Video Transport Protocol"
